,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
8642,6465,West Mackay,pm25,8,"{'utc': '2019-10-13T04:00:00+00:00', 'local': '2019-10-13T14:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8644,6465,West Mackay,pm25,7.9,"{'utc': '2019-10-13T05:00:00+00:00', 'local': '2019-10-13T15:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8648,6465,West Mackay,pm25,7.9,"{'utc': '2019-10-13T06:00:00+00:00', 'local': '2019-10-13T16:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8651,6465,West Mackay,pm25,7.9,"{'utc': '2019-10-13T07:00:00+00:00', 'local': '2019-10-13T17:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8654,6465,West Mackay,pm25,7.9,"{'utc': '2019-10-13T08:00:00+00:00', 'local': '2019-10-13T18:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8656,6465,West Mackay,pm25,7.9,"{'utc': '2019-10-13T09:00:00+00:00', 'local': '2019-10-13T19:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9678,6465,West Mackay,pm25,7.8,"{'utc': '2019-10-13T10:00:00+00:00', 'local': '2019-10-13T20:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9825,6465,West Mackay,pm25,7.8,"{'utc': '2019-10-13T11:00:00+00:00', 'local': '2019-10-13T21:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9826,6465,West Mackay,pm25,7.8,"{'utc': '2019-10-13T12:00:00+00:00', 'local': '2019-10-13T22:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9829,6465,West Mackay,pm25,7.7,"{'utc': '2019-10-13T13:00:00+00:00', 'local': '2019-10-13T23:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9834,6465,West Mackay,pm25,7.7,"{'utc': '2019-10-13T14:00:00+00:00', 'local': '2019-10-14T00:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9835,6465,West Mackay,pm25,7.8,"{'utc': '2019-10-13T15:00:00+00:00', 'local': '2019-10-14T01:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9838,6465,West Mackay,pm25,7.8,"{'utc': '2019-10-13T16:00:00+00:00', 'local': '2019-10-14T02:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9841,6465,West Mackay,pm25,7.9,"{'utc': '2019-10-13T17:00:00+00:00', 'local': '2019-10-14T03:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9844,6465,West Mackay,pm25,7.8,"{'utc': '2019-10-13T18:00:00+00:00', 'local': '2019-10-14T04:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9848,6465,West Mackay,pm25,7.8,"{'utc': '2019-10-13T19:00:00+00:00', 'local': '2019-10-14T05:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9850,6465,West Mackay,pm25,7.7,"{'utc': '2019-10-13T20:00:00+00:00', 'local': '2019-10-14T06:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9853,6465,West Mackay,pm25,7.5,"{'utc': '2019-10-13T21:00:00+00:00', 'local': '2019-10-14T07:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9856,6465,West Mackay,pm25,7.2,"{'utc': '2019-10-13T22:00:00+00:00', 'local': '2019-10-14T08:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9860,6465,West Mackay,pm25,7,"{'utc': '2019-10-13T23:00:00+00:00', 'local': '2019-10-14T09:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9863,6465,West Mackay,pm25,6.9,"{'utc': '2019-10-14T00:00:00+00:00', 'local': '2019-10-14T10:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9866,6465,West Mackay,pm25,6.8,"{'utc': '2019-10-14T01:00:00+00:00', 'local': '2019-10-14T11:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9869,6465,West Mackay,pm25,6.8,"{'utc': '2019-10-14T02:00:00+00:00', 'local': '2019-10-14T12:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9872,6465,West Mackay,pm25,6.7,"{'utc': '2019-10-14T03:00:00+00:00', 'local': '2019-10-14T13:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9875,6465,West Mackay,pm25,6.8,"{'utc': '2019-10-14T04:00:00+00:00', 'local': '2019-10-14T14:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9877,6465,West Mackay,pm25,6.7,"{'utc': '2019-10-14T05:00:00+00:00', 'local': '2019-10-14T15:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9880,6465,West Mackay,pm25,6.7,"{'utc': '2019-10-14T06:00:00+00:00', 'local': '2019-10-14T16:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9883,6465,West Mackay,pm25,6.7,"{'utc': '2019-10-14T07:00:00+00:00', 'local': '2019-10-14T17:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9886,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-14T08:00:00+00:00', 'local': '2019-10-14T18:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9889,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-14T09:00:00+00:00', 'local': '2019-10-14T19:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9892,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-14T10:00:00+00:00', 'local': '2019-10-14T20:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9895,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-14T11:00:00+00:00', 'local': '2019-10-14T21:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9897,6465,West Mackay,pm25,6.6,"{'utc': '2019-10-14T12:00:00+00:00', 'local': '2019-10-14T22:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
