,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
77,7400,Kensington,pm10,22.0,"{'utc': '2019-12-26T21:00:00+00:00', 'local': '2019-12-27T07:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
78,7400,Kensington,pm10,28.0,"{'utc': '2019-12-26T22:00:00+00:00', 'local': '2019-12-27T08:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
79,7400,Kensington,pm10,23.0,"{'utc': '2019-12-26T23:00:00+00:00', 'local': '2019-12-27T09:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
80,7400,Kensington,pm10,16.0,"{'utc': '2019-12-27T00:00:00+00:00', 'local': '2019-12-27T10:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
81,7400,Kensington,pm10,18.0,"{'utc': '2019-12-27T01:00:00+00:00', 'local': '2019-12-27T11:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
82,7400,Kensington,pm10,22.0,"{'utc': '2019-12-27T02:00:00+00:00', 'local': '2019-12-27T12:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
83,7400,Kensington,pm10,28.0,"{'utc': '2019-12-27T03:00:00+00:00', 'local': '2019-12-27T13:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
84,7400,Kensington,pm10,27.0,"{'utc': '2019-12-27T04:00:00+00:00', 'local': '2019-12-27T14:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
85,7400,Kensington,pm10,21.0,"{'utc': '2019-12-27T05:00:00+00:00', 'local': '2019-12-27T15:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
86,7400,Kensington,pm10,23.0,"{'utc': '2019-12-27T06:00:00+00:00', 'local': '2019-12-27T16:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
87,7400,Kensington,pm10,23.0,"{'utc': '2019-12-27T07:00:00+00:00', 'local': '2019-12-27T17:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
88,7400,Kensington,pm10,22.0,"{'utc': '2019-12-27T08:00:00+00:00', 'local': '2019-12-27T18:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
89,7400,Kensington,pm10,23.0,"{'utc': '2019-12-27T09:00:00+00:00', 'local': '2019-12-27T19:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
90,7400,Kensington,pm10,24.0,"{'utc': '2019-12-27T10:00:00+00:00', 'local': '2019-12-27T20:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
91,7400,Kensington,pm10,22.0,"{'utc': '2019-12-27T11:00:00+00:00', 'local': '2019-12-27T21:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
92,7400,Kensington,pm10,24.0,"{'utc': '2019-12-27T12:00:00+00:00', 'local': '2019-12-27T22:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
93,7400,Kensington,pm10,22.0,"{'utc': '2019-12-27T13:00:00+00:00', 'local': '2019-12-27T23:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
94,7400,Kensington,pm10,24.0,"{'utc': '2019-12-27T14:00:00+00:00', 'local': '2019-12-28T00:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
95,7400,Kensington,pm10,23.0,"{'utc': '2019-12-27T15:00:00+00:00', 'local': '2019-12-28T01:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
